HUC8,CatalogingUnitDescription,DataType,Source,SampleType,SampleDate,Layer,Latitude,Longitude,PDepth,Salzone,SampleVolume,Units,Station,TotalDepth,SampleTime
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,AP,38.80645,-75.90971,2.5,TF,10,Liter,ET5.1,5.5,9:35:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,AP,38.80645,-75.90971,2.5,TF,10,Liter,ET5.1,5.5,9:35:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,BP,38.80645,-75.90971,5,TF,10,Liter,ET5.1,5.5,9:35:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,BP,38.80645,-75.90971,5,TF,10,Liter,ET5.1,5.5,9:35:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,AP,38.5807,-76.0587,3.5,O,10,Liter,ET5.2,15,12:30:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,AP,38.5807,-76.0587,3.5,O,10,Liter,ET5.2,15,12:30:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,BP,38.5807,-76.0587,14.5,M,10,Liter,ET5.2,15,12:30:00
2060005,Choptank,PHYTP,MSU/PEARL,C,8/2/1984,BP,38.5807,-76.0587,14.5,M,10,Liter,ET5.2,15,12:30:00
2080110,Eastern Lower Delmarva,PHYTP,MSU/PEARL,C,8/3/1984,AP,38.19685,-75.97321,2.5,ME,15,Liter,EE3.1,15.7,9:30:00
2080110,Eastern Lower Delmarva,PHYTP,MSU/PEARL,C,8/3/1984,AP,38.19685,-75.97321,2.5,ME,15,Liter,EE3.1,15.7,9:30:00
2080110,Eastern Lower Delmarva,PHYTP,MSU/PEARL,C,8/3/1984,BP,38.19685,-75.97321,15.2,ME,15,Liter,EE3.1,15.7,9:30:00
2080110,Eastern Lower Delmarva,PHYTP,MSU/PEARL,C,8/3/1984,BP,38.19685,-75.97321,15.2,ME,15,Liter,EE3.1,15.7,9:30:00
2060002,Chester-Sassafras,PHYTP,MSU/PEARL,C,8/3/1984,AP,38.99233,-76.2151,2.5,ME,15,Liter,ET4.2,13.1,17:00:00
2060002,Chester-Sassafras,PHYTP,MSU/PEARL,C,8/3/1984,AP,38.99233,-76.2151,2.5,ME,15,Liter,ET4.2,13.1,17:00:00
2060002,Chester-Sassafras,PHYTP,MSU/PEARL,C,8/3/1984,BP,38.99233,-76.2151,12.6,ME,15,Liter,ET4.2,13.1,17:00:00
2060002,Chester-Sassafras,PHYTP,MSU/PEARL,C,8/3/1984,BP,38.99233,-76.2151,12.6,ME,15,Liter,ET4.2,13.1,17:00:00
2070011,Lower Potomac,PHYTP,MSU/PEARL,C,8/6/1984,AP,38.1576,-76.598,4.5,M,15,Liter,LE2.2,13,9:54:00
2070011,Lower Potomac,PHYTP,MSU/PEARL,C,8/6/1984,AP,38.1576,-76.598,4.5,M,15,Liter,LE2.2,13,9:54:00
2070011,Lower Potomac,PHYTP,MSU/PEARL,C,8/6/1984,BP,38.1576,-76.598,12.5,M,15,Liter,LE2.2,13,9:54:00
