HUC8,CatalogingUnitDescription,Station,StationDescription,CBSeg2003,FallLine,Latitude,Longitude,LLDatum
2050306,Lower Susquehanna,CB1.1,Mouth Of Susquehanna River; Head Of Bay; Mid-Channel,CB1TF ,B,39.54794,-76.08481,NAD83 
2060001,Upper Chesapeake Bay,CB2.1,Southwest Of Turkey Point; Upper Limit Of Transition Zone; Mid-Channel,CB1TF ,B,39.44149,-76.02599,NAD83 
2060001,Upper Chesapeake Bay,CB2.2,West Of Still Pond Near Buoy R-34; Middle Of Transition Zone; Mid-Channel,CB2OH ,B,39.34873,-76.17579,NAD83 
2060001,Upper Chesapeake Bay,CB3.3C,North Of Bay Bridge; Characterizes Mid-Channel,CB3MH ,B,38.99596,-76.35967,NAD83 
2060001,Upper Chesapeake Bay,CB4.3C,East Of Dares Beach Near Buoy R-64; Characterizes Mid-Channel,CB4MH ,B,38.55505,-76.42794,NAD83 
2060001,Upper Chesapeake Bay,CB5.2,East Of Point No Point; Mid-Channel,CB5MH ,B,38.13705,-76.22787,NAD83 
2080101,Lower Chesapeake Bay,CB6.1,(Tidal) Lower West Central Chesapeake Bay (Main Channel Off Lower End Of The Rappahannock River),CB6PH ,B,37.58847,-76.16216,NAD83 
2080101,Lower Chesapeake Bay,CB6.4,(Tidal) Central Chesapeake Bay Offshore From Mouth Of York River,CB6PH ,B,37.23653,-76.20799,NAD83 
2080101,Lower Chesapeake Bay,CB7.3E,(Tidal) Lower Eastern Shore Channel Area,CB7PH ,B,37.22875,-76.05383,NAD83 
2080101,Lower Chesapeake Bay,CB7.4,(Tidal) Baltimore Channel At The Bay Bridge/Tunnel,CB8PH ,B,36.9957,-76.02048,NAD83 
2060002,Chester-Sassafras,EE1.1,Eastern Bay Between Tilghman Point And Parsons Island; North Of Buoy R-4; Characterizes Embayment,EASMH ,B,38.88,-76.2515,NAD83 
2080110,Eastern Lower Delmarva,EE3.1,North Tangier Sound; Northwest Of Haines Point; 100 Yards North Of Buoy R-16; Characterizes Embayment,TANMH ,B,38.19685,-75.97321,NAD83 
2080110,Eastern Lower Delmarva,EE3.2,South Tangier Sound; 1 Nautical Mile N Of James Island Light On A Line From Buoy R-8 To Bell 9 In 27 Meters; Characterizes Embayment,TANMH ,B,37.98139,-75.92423,NAD83 
2080111,Pocomoke-Western Lower Delmarva,EE3.3,"Pocomoke Sound; Mid-Channel Near Buoy W-a"" Place; State Line; Characterizes Embayment""",POCMH ,B,37.91455,-75.80148,NAD83 
2060002,Chester-Sassafras,ET3.1,Sassafras River Near Route 213 Bridge; Tidal Fresh Water Station,SASOH ,B,39.36415,-75.88203,NAD83 
2060002,Chester-Sassafras,ET4.2,Lower Chester River; South Of Eastern Neck Island At Buoy Fig-9; Characterizes Lower Estuarine,CHSMH ,B,38.99233,-76.2151,NAD83 
2080109,Western Lower Delmarva,ET5.0A,"Choptank River, Mid-Channel Of Mouth Of Kings Cree",NGISS ,B,38.46522,-75.58095,NAD83 
2060005,Choptank,ET5.1,Upper Choptank River At Ganey Wharf; Downstream Of Confluence; Tuckahoe Circle; Tidal Fresh Water Station,CHOOH ,B,38.80645,-75.90971,NAD83 
2060005,Choptank,ET5.2,Lower Choptank River Near Route 50 Bridge At Cambridge; Characterizes Lower Estuarine,CHOMH2,B,38.5807,-76.0587,NAD83 
2080109,Western Lower Delmarva,ET6.1,Upper Nanticoke River Near Route 313 Bridge At Sharptown; Mid-Channel; Tidal Fresh Water Station,NGISS ,B,38.54833,-75.70306,NAD83 
2080110,Eastern Lower Delmarva,ET7.1,Lower Wicomico River At Whiteheaven Off Of Ferry Road; Characterizes Lower Estuarine,WICMH ,B,38.26783,-75.78793,NAD83 
2060006,Patuxent,LE1.1,Mid-Channel; Ssw Of Jack Bay Sandspit And Northeast Of Sandgates; Characterizes Lower Estuarine,PAXMH ,B,38.42535,-76.60176,NAD83 
2070011,Lower Potomac,LE2.2,Potomac River Off Ragged Point At Buoy 51b; Lower Estuarine Zone,POTMH ,B,38.1576,-76.598,NAD83 
2080101,Lower Chesapeake Bay,LE3.6,(Tidal) Mouth Of The Rappahannock River,RPPMH ,B,37.5968,-76.28467,NAD83 
