station,date,layer,salzone_cedr,salzone_calc,salzone_johnson,salzone_diff,salinity,salinity_johnson,sal_diff
cb7.4,1998-05-20,ap,m,p,m,TRUE,25.5013333333333,13.97,11.5313333333333
cb3.3c,1992-04-28,ap,o,m,o,TRUE,13.8282352941176,4.88,8.94823529411765
cb3.3c,1987-04-07,ap,o,m,o,TRUE,12.0321428571429,3.17,8.86214285714286
cb3.3c,1993-04-13,ap,o,m,o,TRUE,11.756,3.47,8.286
cb3.3c,1989-05-16,ap,o,m,o,TRUE,10.86625,3.96,6.90625
sbe2,1989-04-18,ap,p,p,m,TRUE,18.9,12.72,6.18
cb7.3e,2007-05-10,ap,p,p,m,TRUE,23.0547058823529,16.99,6.06470588235294
cb5.2,1986-07-15,ap,m,p,m,TRUE,19.2428571428571,13.5,5.74285714285714
cb3.3c,1994-04-05,ap,o,m,o,TRUE,7.04,1.3,5.74
cb5.2,1994-08-15,ap,m,p,m,TRUE,18.1260869565217,12.4,5.72608695652174
cb6.4,2003-04-22,ap,m,p,m,TRUE,20.557,14.9,5.657
wt5.1,1993-04-13,ap,o,m,o,TRUE,9.54125,3.9,5.64125
cb3.3c,1989-07-11,ap,o,m,o,TRUE,9.13833333333333,3.63,5.50833333333333
cb2.2,2009-04-15,wc,,m,o,TRUE,6.43666666666667,1.08,5.35666666666667
cb3.3c,1993-05-11,ap,o,m,o,TRUE,7.965,2.65,5.315
cb4.3c,1994-05-03,ap,o,m,o,TRUE,9.39421052631579,4.22,5.17421052631579
cb6.4,1993-07-12,ap,m,p,m,TRUE,21.4888888888889,16.33,5.15888888888889
cb2.2,1987-05-05,ap,o,m,o,TRUE,5.64222222222222,0.76,4.88222222222222
cb6.4,1989-09-11,ap,m,p,m,TRUE,22.1444444444444,17.33,4.81444444444445
cb5.2,1992-05-26,ap,m,p,m,TRUE,18.7913636363636,14.04,4.75136363636364
cb4.3c,1994-04-19,ap,o,m,o,TRUE,7.33368421052632,2.65,4.68368421052632
cb5.2,1992-08-24,ap,m,p,m,TRUE,18.9831818181818,14.31,4.67318181818182
cb5.2,1986-07-28,ap,m,p,m,TRUE,19.812,15.17,4.642
cb6.1,2000-04-27,ap,p,p,m,TRUE,19.3483333333333,14.75,4.59833333333333
cb5.2,1990-09-10,ap,m,p,m,TRUE,19.2965,14.9,4.3965
cb5.2,1991-07-08,ap,m,p,m,TRUE,19.0931818181818,14.73,4.36318181818182
sbe2,1991-03-14,ap,m,p,m,TRUE,19.0916666666667,14.75,4.34166666666667
cb5.2,1989-05-01,ap,m,p,m,TRUE,18.767619047619,14.44,4.32761904761905
cb4.3c,1994-04-05,ap,o,m,o,TRUE,9.17842105263158,4.93,4.24842105263158
wt5.1,1987-04-21,ap,o,m,o,TRUE,8.14785714285714,3.91,4.23785714285714
cb6.4,1997-04-04,ap,m,p,m,TRUE,18.2625,14.05,4.2125
cb6.4,1989-08-15,ap,m,p,m,TRUE,19.0555555555556,14.9,4.15555555555555
cb6.4,1986-04-08,ap,p,p,m,TRUE,21.506,17.41,4.096
cb5.2,1993-07-26,ap,m,p,m,TRUE,18.8063636363636,14.72,4.08636363636363
cb3.3c,1988-05-24,ap,o,m,o,TRUE,8.80466666666667,4.75,4.05466666666667
cb4.3c,1986-09-09,ap,m,p,m,TRUE,19.16,15.16,4
cb5.2,1986-08-11,ap,m,p,m,TRUE,20.3141176470588,16.35,3.96411764705882
cb5.2,1991-08-05,ap,m,p,m,TRUE,19.8378260869565,15.89,3.94782608695652
le5.5-w,2007-03-14,ap,p,p,m,TRUE,18.794,14.91,3.884
cb6.1,1999-05-12,ap,m,p,m,TRUE,18.07,14.19,3.88
cb7.3e,1991-04-08,ap,m,p,m,TRUE,21.6071428571429,17.8,3.80714285714286
cb4.3c,1991-08-06,ap,m,p,m,TRUE,18.405,14.61,3.795
cb5.2,1995-05-22,ap,m,p,m,TRUE,18.3727272727273,14.61,3.76272727272727
wt5.1,1994-05-25,ap,o,m,o,TRUE,7.504375,3.81,3.694375
sbe2,1992-09-10,ap,p,p,m,TRUE,20.9333333333333,17.38,3.55333333333333
cb6.1,1988-08-23,ap,p,p,m,TRUE,21.0315384615385,17.57,3.46153846153846
cb6.4,1996-07-24,ap,m,p,m,TRUE,20.9875,17.53,3.4575
cb6.1,2009-03-18,ap,p,p,m,TRUE,20.8554545454545,17.43,3.42545454545455
cb6.4,2007-05-12,ap,p,p,m,TRUE,18.15,14.73,3.42
sbe5,1992-09-10,ap,p,p,m,TRUE,18.5,15.1,3.4
cb4.3c,1988-09-07,ap,m,p,m,TRUE,18.1894117647059,14.84,3.34941176470588
cb5.2,1987-09-01,ap,m,p,m,TRUE,20.6305882352941,17.3,3.33058823529412
cb4.3c,1989-04-04,ap,m,p,m,TRUE,18.2380952380952,14.96,3.27809523809524
cb6.4,1989-07-11,ap,m,p,m,TRUE,18.1777777777778,14.9,3.27777777777778
cb7.3e,1998-05-20,ap,m,p,m,TRUE,20.74,17.53,3.21
ret3.1,2006-05-04,ap,,m,o,TRUE,6.675,3.5,3.175
cb7.3e,1993-04-14,ap,m,p,m,TRUE,20.70625,17.56,3.14625
cb6.4,2000-05-26,ap,m,p,m,TRUE,19.14,16,3.14
wt5.1,1989-05-16,ap,o,m,o,TRUE,7.294,4.16,3.134
we4.2,2004-09-09,ap,m,p,m,TRUE,18.09,14.99,3.1
cb6.4,2003-07-09,ap,m,p,m,TRUE,18.6133333333333,15.54,3.07333333333333
cb6.1,1986-05-27,ap,p,p,m,TRUE,20.2077777777778,17.14,3.06777777777778
cb5.2,1993-08-09,ap,m,p,m,TRUE,18.055,14.99,3.065
cb6.4,1990-08-28,ap,m,p,m,TRUE,20.1888888888889,17.13,3.05888888888889
cb5.2,1987-08-03,ap,m,p,m,TRUE,18.5470588235294,15.49,3.05705882352941
cb5.2,1986-09-08,ap,m,p,m,TRUE,19.8721052631579,16.84,3.0321052631579
wt5.1,1994-08-30,ap,o,m,o,TRUE,7.934,4.93,3.004
cb6.1,2008-04-18,ap,p,p,m,TRUE,18.1945454545455,15.21,2.98454545454545
cb5.2,1993-08-23,ap,m,p,m,TRUE,18.4377272727273,15.46,2.97772727272727
cb5.2,1995-04-10,ap,m,p,m,TRUE,18.1620833333333,15.21,2.95208333333333
cb6.4,2007-03-14,ap,p,p,m,TRUE,20.201,17.26,2.941
cb5.2,1988-09-22,ap,m,p,m,TRUE,19.7284210526316,16.8,2.92842105263158
cb6.1,2006-08-14,ap,p,p,m,TRUE,19.2366666666667,16.32,2.91666666666666
cb6.4,2005-05-11,ap,p,p,m,TRUE,19.56,16.66,2.9
cb5.2,1984-09-24,ap,m,p,m,TRUE,18.9458823529412,16.05,2.89588235294118
cb6.1,1986-07-16,ap,p,p,m,TRUE,19.925,17.03,2.895
cb5.2,1986-05-26,ap,m,p,m,TRUE,18.2468421052632,15.37,2.87684210526316
cb4.3c,1987-09-02,ap,m,p,m,TRUE,19.4082352941176,16.55,2.85823529411764
cb5.2,1987-07-06,ap,m,p,m,TRUE,20.017,17.16,2.857
cb5.2,1987-07-20,ap,m,p,m,TRUE,18.4873684210526,15.67,2.81736842105263
cb6.4,1986-03-25,ap,p,p,m,TRUE,19.916,17.13,2.786
cb6.1,2010-07-12,ap,m,p,m,TRUE,19.1136363636364,16.33,2.78363636363637
cb4.3c,1986-07-29,ap,m,p,m,TRUE,18.4641176470588,15.72,2.74411764705882
cb4.3c,1991-08-21,ap,m,p,m,TRUE,18.1314285714286,15.45,2.68142857142857
cb6.1,1995-03-06,ap,m,p,m,TRUE,20.0575,17.38,2.6775
cb6.1,2000-07-11,ap,m,p,m,TRUE,18.0763636363636,15.4,2.67636363636364
we4.2,1997-05-14,ap,m,p,m,TRUE,18.590625,15.94,2.650625
cb4.3c,1986-08-12,ap,m,p,m,TRUE,18.7323529411765,16.1,2.63235294117647
wt5.1,1989-07-11,ap,o,m,o,TRUE,6.308,3.69,2.618
cb5.2,1988-08-22,ap,m,p,m,TRUE,18.376,15.78,2.596
cb6.4,2010-05-14,ap,m,p,m,TRUE,19.735,17.14,2.595
wt5.1,1989-07-25,ap,o,m,o,TRUE,5.79533333333333,3.22,2.57533333333333
cb3.3c,1993-04-28,ap,o,m,o,TRUE,6.96318181818182,4.4,2.56318181818182
we4.2,2004-08-12,ap,m,p,m,TRUE,20.2441666666667,17.69,2.55416666666666
cb4.3c,1985-07-23,ap,m,p,m,TRUE,18.85875,16.34,2.51875
